itr,Methods,Total delivery,Total CP,Total EV,delivery2ev_ratio,Elapsed time (ms),Total reward,Total cost,Objective val,Total successful delivery,Avg. cost per successful delivery
1,Optimal,5,3,2,2.5,557.9147338867188,50.0,5.291999999999984,44.70800000000001,5,1.0583999999999967
1,CSA,5,3,2,2.5,2.111196517944336,50,6.0,44.0,5,1.2
1,Hybrid_RL4CO,5,3,2,2.5,862.6790709095076,50.0,6.120375,43.879625,5,1.224075
1,Hybrid_RL4CO_partial_charging,5,3,2,2.5,862.6790709095076,50.0,6.120375,43.879625,5,1.224075
1,RL,5,3,2,2.5,59.6338469767943,50.0,18.942710510835052,31.057289489164948,5,3.7885421021670105
1,RL_partial_charging,5,3,2,2.5,59.6338469767943,50.0,16.442630566716197,33.5573694332838,5,3.2885261133432393
2,Optimal,5,3,2,2.5,224.90763664245605,37.0,5.648999999999971,31.35100000000003,5,1.1297999999999941
2,CSA,5,3,2,2.5,2.2733211517333984,31,11.24,19.759999999999998,4,2.81
2,Hybrid_RL4CO,5,3,2,2.5,860.6782620772719,37.0,18.839975,18.160025,5,3.767995
2,Hybrid_RL4CO_partial_charging,5,3,2,2.5,860.6782620772719,37.0,15.8518925,21.148107500000002,5,3.1703785
2,RL,5,3,2,2.5,63.98088997229934,30.0,32.55654577685148,-2.556545776851479,4,8.13913644421287
2,RL_partial_charging,5,3,2,2.5,63.98088997229934,30.0,27.55638588861376,2.443614111386239,4,6.88909647215344
3,Optimal,5,3,2,2.5,144.5324420928955,56.0,12.203999999999969,43.796000000000035,4,3.050999999999992
3,CSA,5,3,2,2.5,1.9009113311767578,50,13.05,36.95,3,4.3500000000000005
3,Hybrid_RL4CO,5,3,2,2.5,859.0459470869973,59.0,24.25591,34.74409,4,6.0639775
3,Hybrid_RL4CO_partial_charging,5,3,2,2.5,859.0459470869973,59.0,20.94117,38.05883,4,5.2352925
3,RL,5,3,2,2.5,57.24268301855773,59.0,34.79001940858364,24.20998059141636,4,8.69750485214591
3,RL_partial_charging,5,3,2,2.5,57.24268301855773,59.0,28.160540342569355,30.839459657430645,4,7.040135085642339
4,Optimal,5,3,2,2.5,379.6706199645996,69.0,7.865999999999998,61.134,5,1.5731999999999995
4,CSA,5,3,2,2.5,1.7392635345458984,54,18.38,35.620000000000005,4,4.595
4,Hybrid_RL4CO,5,3,2,2.5,863.7086160015315,69.0,12.0546,56.9454,5,2.41092
4,Hybrid_RL4CO_partial_charging,5,3,2,2.5,863.7086160015315,69.0,12.054599999999999,56.9454,5,2.41092
4,RL,5,3,2,2.5,62.75273999199271,69.0,36.13346227671206,32.86653772328794,5,7.226692455342412
4,RL_partial_charging,5,3,2,2.5,62.75273999199271,69.0,32.67438782651722,36.32561217348278,5,6.534877565303444
5,Optimal,5,3,2,2.5,556.0750961303711,61.0,8.727,52.272999999999996,5,1.7454
5,CSA,5,3,2,2.5,1.7778873443603516,61,20.43,40.57,5,4.086
5,Hybrid_RL4CO,5,3,2,2.5,858.3383080549538,48.0,19.308094999999998,28.691905000000002,4,4.8270237499999995
5,Hybrid_RL4CO_partial_charging,5,3,2,2.5,858.3383080549538,48.0,15.244542500000001,32.7554575,4,3.8111356250000004
5,RL,5,3,2,2.5,61.209667939692736,48.0,40.39658021897078,7.603419781029217,4,10.099145054742696
5,RL_partial_charging,5,3,2,2.5,61.209667939692736,48.0,36.521800614893436,11.478199385106564,4,9.130450153723359
