itr,Methods,Total delivery,Total CP,Total EV,delivery2ev_ratio,Elapsed time (ms),Total reward,Total cost,Objective val,Total successful delivery,Avg. cost per successful delivery
1,CSA,20,20,4,5.0,2.4633407592773438,221,40.58,180.42000000000002,17,2.3870588235294115
1,NDF,20,20,4,5.0,0.40268898010253906,225.0,41.4792,183.5208,18,2.3044
1,EDF,20,20,4,5.0,0.3638267517089844,210.0,53.7021,156.2979,17,3.1589470588235296
1,Hybrid_RL4CO,20,20,4,5.0,932.3712759651244,195.0,41.760825,153.239175,16,2.6100515625
1,Hybrid_RL4CO_partial_charging,20,20,4,5.0,932.3712759651244,195.0,37.701944999999995,157.298055,16,2.3563715624999997
1,RL,20,20,4,5.0,194.48994693811983,215.0,66.74048820077627,148.25951179922373,17,3.925911070633898
1,RL_partial_charging,20,20,4,5.0,194.48994693811983,215.0,55.24734147033841,159.75265852966157,17,3.2498436159022597
1,Baseline,20,20,4,5.0,760.0,253.0,33.5332875,219.4667125,20,1.676664375
2,CSA,20,20,4,5.0,2.3300647735595703,261,45.809999999999995,215.19,18,2.545
2,NDF,20,20,4,5.0,0.3864765167236328,217.0,51.7113,165.2887,14,3.6936642857142856
2,EDF,20,20,4,5.0,0.35190582275390625,261.0,70.6759,190.3241,18,3.926438888888889
2,Hybrid_RL4CO,20,20,4,5.0,949.7395090293139,248.0,43.5232,204.4768,18,2.417955555555556
2,Hybrid_RL4CO_partial_charging,20,20,4,5.0,949.7395090293139,248.0,38.8484,209.1516,18,2.158244444444444
2,RL,20,20,4,5.0,193.78535798750818,237.0,74.665423211433,162.334576788567,17,4.392083718319588
2,RL_partial_charging,20,20,4,5.0,193.78535798750818,237.0,63.27800380531698,173.72199619468302,17,3.722235517959822
2,Baseline,20,20,4,5.0,250.0,283.0,45.29873,237.70127,20,2.2649365
3,CSA,20,20,4,5.0,2.0685195922851562,265,55.77,209.23,20,2.7885
3,NDF,20,20,4,5.0,0.3826618194580078,216.0,55.08690000000001,160.9131,17,3.240405882352942
3,EDF,20,20,4,5.0,0.3490447998046875,249.0,65.4494,183.5506,19,3.4447052631578945
3,Hybrid_RL4CO,20,20,4,5.0,944.2937119165435,221.0,61.073100000000004,159.9269,16,3.8170687500000002
3,Hybrid_RL4CO_partial_charging,20,20,4,5.0,944.2937119165435,221.0,48.495892500000004,172.5041075,16,3.0309932812500002
3,RL,20,20,4,5.0,211.85216505546123,259.0,81.84857282656432,177.15142717343568,19,4.3078196224507534
3,RL_partial_charging,20,20,4,5.0,211.85216505546123,259.0,66.48562641524524,192.51437358475476,19,3.499243495539223
3,Baseline,20,20,4,5.0,690.0,265.0,37.783905000000004,227.216095,20,1.8891952500000002
4,CSA,20,20,4,5.0,2.074003219604492,229,45.31999999999999,183.68,18,2.5177777777777774
4,NDF,20,20,4,5.0,0.3838539123535156,170.0,47.9623,122.0377,14,3.4258785714285716
4,EDF,20,20,4,5.0,0.3414154052734375,220.0,47.3883,172.61169999999998,18,2.6326833333333335
4,Hybrid_RL4CO,20,20,4,5.0,946.1854679975659,207.0,51.6092075,155.3907925,16,3.22557546875
4,Hybrid_RL4CO_partial_charging,20,20,4,5.0,946.1854679975659,207.0,44.237432500000004,162.7625675,16,2.7648395312500003
4,RL,20,20,4,5.0,213.5675320168957,245.0,73.27101002259553,171.72898997740447,19,3.8563689485576598
4,RL_partial_charging,20,20,4,5.0,213.5675320168957,245.0,61.852843553930526,183.14715644606946,19,3.2554128186279225
4,Baseline_failed,20,20,4,5.0,,,,FAILED,,
5,CSA,20,20,4,5.0,2.0799636840820312,252,40.849999999999994,211.15,18,2.269444444444444
5,NDF,20,20,4,5.0,0.3733634948730469,211.0,50.627900000000004,160.3721,15,3.3751933333333337
5,EDF,20,20,4,5.0,0.34165382385253906,222.0,52.671400000000006,169.3286,16,3.2919625000000003
5,Hybrid_RL4CO,20,20,4,5.0,947.1387420780957,216.0,47.824952499999995,168.1750475,16,2.9890595312499997
5,Hybrid_RL4CO_partial_charging,20,20,4,5.0,947.1387420780957,216.0,42.484325,173.515675,16,2.6552703125
5,RL,20,20,4,5.0,220.39157897233963,260.0,95.00357551104575,164.99642448895423,19,5.000188184791882
5,RL_partial_charging,20,20,4,5.0,220.39157897233963,260.0,80.24675876580179,179.7532412341982,19,4.223513619252725
5,Baseline,20,20,4,5.0,390.0,270.0,39.141135,230.858865,20,1.95705675
6,CSA,20,20,4,5.0,2.057313919067383,175,47.81,127.19,14,3.415
6,NDF,20,20,4,5.0,0.42891502380371094,194.0,36.436,157.564,15,2.4290666666666665
6,EDF,20,20,4,5.0,0.35119056701660156,224.0,58.0844,165.91559999999998,17,3.416729411764706
6,Hybrid_RL4CO,20,20,4,5.0,951.8946240423247,222.0,52.29819499999999,169.701805,17,3.0763644117647053
6,Hybrid_RL4CO_partial_charging,20,20,4,5.0,951.8946240423247,222.0,42.9259925,179.0740075,17,2.5250583823529413
6,RL,20,20,4,5.0,206.19886391796172,230.0,80.63545266216248,149.3645473378375,18,4.479747370120138
6,RL_partial_charging,20,20,4,5.0,206.19886391796172,230.0,69.83216623875498,160.16783376124502,18,3.8795647910419433
