Method,Total delivery,Total CP,Total EV,delivery2ev_ratio,Elapsed time (ms),Total cost,Total successful delivery,Avg. cost per successful delivery
EDF,125,5,25,5,7.021665573120117,526.2016,125,4.2096127999999995
CSA,125,25,25,5,7.999658584594727,273.4600999999999,125,2.187680799999999
NDF,125,25,25,5,30.997276306152344,361.5708,125,2.8925664
EDF,125,25,25,5,31.99934959411621,492.08060000000006,125,3.9366448000000003
CSA,125,50,25,5,8.999347686767578,255.8099000000001,125,2.0464792000000007
NDF,125,50,25,5,62.01052665710449,336.7769,125,2.6942152
EDF,125,50,25,5,59.98682975769043,460.9081000000001,125,3.687264800000001
CSA,125,75,25,5,7.982492446899414,242.8015,125,1.942412
NDF,125,75,25,5,89.96367454528809,327.3237,124,2.639707258064516
EDF,125,75,25,5,90.04735946655273,471.2252,125,3.7698015999999996
CSA,125,100,25,5,8.001565933227539,231.4071,125,1.8512568
NDF,125,100,25,5,116.99795722961426,323.3742,125,2.5869936
EDF,125,100,25,5,118.98517608642578,447.6883999999999,125,3.581507199999999
CSA,125,5,12,10,6.999015808105469,331.3085000000001,124,2.6718427419354844
NDF,125,5,12,10,8.00013542175293,392.0150999999999,125,3.136120799999999
EDF,125,5,12,10,7.984161376953125,484.743,125,3.877944
CSA,125,25,12,10,6.999731063842773,268.5534,123,2.183360975609756
NDF,125,25,12,10,34.03449058532715,372.56370000000004,125,2.9805096000000004
EDF,125,25,12,10,30.962228775024414,518.8197999999999,125,4.150558399999999
CSA,125,50,12,10,5.982875823974609,246.01609999999997,125,1.9681287999999997
NDF,125,50,12,10,59.990644454956055,341.22159999999997,125,2.7297727999999997
EDF,125,50,12,10,59.999942779541016,474.2398999999999,125,3.7939191999999995
CSA,125,75,12,10,7.000207901000977,252.14350000000002,125,2.017148
NDF,125,75,12,10,87.99982070922852,320.2486,124,2.58265
EDF,125,75,12,10,89.99872207641602,462.89630000000005,125,3.7031704000000003
CSA,125,100,12,10,6.000041961669922,255.52070000000003,125,2.0441656000000004
NDF,125,100,12,10,119.0345287322998,345.9496,125,2.7675967999999997
EDF,125,100,12,10,117.96188354492188,475.00960000000003,125,3.8000768000000003
CSA,125,5,8,15,5.999088287353516,424.6204000000001,122,3.480495081967214
NDF,125,5,8,15,7.999420166015625,410.7872000000001,123,3.339733333333334
EDF,125,5,8,15,7.987260818481445,544.3086,125,4.354468799999999
CSA,125,25,8,15,6.003856658935547,250.4743,122,2.0530680327868853
NDF,125,25,8,15,31.97956085205078,358.72120000000007,125,2.8697696000000006
EDF,125,25,8,15,31.000375747680664,467.3547000000001,124,3.768989516129033
CSA,125,50,8,15,6.000041961669922,266.7001,123,2.1682934959349596
NDF,125,50,8,15,60.03594398498535,341.74229999999994,125,2.7339383999999995
EDF,125,50,8,15,60.001373291015625,451.0173999999999,124,3.6372370967741925
CSA,125,75,8,15,7.002115249633789,255.47429999999997,121,2.1113578512396693
NDF,125,75,8,15,89.00237083435059,321.08840000000004,124,2.5894225806451616
EDF,125,75,8,15,88.99450302124023,467.32130000000006,125,3.7385704000000004
CSA,125,100,8,15,6.99925422668457,258.9223,125,2.0713784
NDF,125,100,8,15,119.00138854980469,326.16579999999993,125,2.6093263999999996
EDF,125,100,8,15,119.99869346618652,469.60009999999994,125,3.7568007999999997
CSA,150,5,30,5,10.038137435913086,426.44,150,2.8429333333333333
NDF,150,5,30,5,11.000871658325195,479.5894999999999,150,3.1972633333333325
EDF,150,5,30,5,11.002302169799805,630.4801,149,4.231410067114094
CSA,150,25,30,5,9.999275207519531,292.52160000000003,150,1.9501440000000003
NDF,150,25,30,5,47.99914360046387,430.10849999999994,150,2.8673899999999994
EDF,150,25,30,5,52.0021915435791,587.0680999999997,150,3.9137873333333317
CSA,150,50,30,5,9.000301361083984,289.59759999999994,149,1.9436080536912748
NDF,150,50,30,5,85.99996566772461,399.4293999999999,149,2.6807342281879185
EDF,150,50,30,5,88.00601959228516,588.3738999999999,150,3.9224926666666664
